New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   577.0000       580.0000       24.08319    
   578.0000       574.0000       23.95830    
   579.0000       475.0000       21.79449    
   580.0000       558.0000       23.62202    
   581.0000       612.0000       24.73863    
   582.0000       575.0000       23.97916    
   583.0000       562.0000       23.70654    
   584.0000       565.0000       23.76973    
   585.0000       637.0000       25.23886    
   586.0000       587.0000       24.22808    
   587.0000       554.0000       23.53720    
   588.0000       552.0000       23.49468    
   589.0000       580.0000       24.08319    
   590.0000       576.0000       24.00000    
   591.0000       527.0000       22.95648    
   592.0000       558.0000       23.62202    
   593.0000       540.0000       23.23790    
   594.0000       561.0000       23.68544    
   595.0000       570.0000       23.87467    
   596.0000       534.0000       23.10844    
   597.0000       519.0000       22.78157    
   598.0000       543.0000       23.30236    
   599.0000       505.0000       22.47220    
   600.0000       564.0000       23.74868    
   601.0000       537.0000       23.17326    
   602.0000       531.0000       23.04344    
   603.0000       542.0000       23.28089    
   604.0000       539.0000       23.21637    
   605.0000       544.0000       23.32381    
   606.0000       517.0000       22.73763    
   607.0000       530.0000       23.02173    
   608.0000       533.0000       23.08679    
   609.0000       525.0000       22.91288    
   610.0000       472.0000       21.72556    
   611.0000       514.0000       22.67157    
   612.0000       512.0000       22.62742    
   613.0000       500.0000       22.36068    
   614.0000       464.0000       21.54066    
   615.0000       485.0000       22.02271    
   616.0000       502.0000       22.40536    
   617.0000       525.0000       22.91288    
   618.0000       597.0000       24.43358    
   619.0000       578.0000       24.04163    
   620.0000       716.0000       26.75818    
   621.0000       587.0000       24.22808    
   622.0000       666.0000       25.80698    
   623.0000       652.0000       25.53429    
   624.0000       611.0000       24.71841    
   625.0000       595.0000       24.39262    
   626.0000       618.0000       24.85961    
   627.0000       610.0000       24.69818    
   628.0000       600.0000       24.49490    
   629.0000       597.0000       24.43358    
   630.0000       477.0000       21.84033    
   631.0000       510.0000       22.58318    
   632.0000       472.0000       21.72556    
   633.0000       472.0000       21.72556    
   634.0000       482.0000       21.95450    
   635.0000       492.0000       22.18107    
   636.0000       486.0000       22.04541    
   637.0000       517.0000       22.73763    
   638.0000       468.0000       21.63331    
   639.0000       449.0000       21.18962    
